weekday,avg_transfers,avg_discharges,avg_transfer_eff,avg_discharge_eff
Monday,123.73103448275862,157.55862068965519,0.6605159698391369,0.02171130515395244
Tuesday,124.85906040268456,136.11409395973155,0.6704848423663436,0.018704762274443627
Wednesday,131.6734693877551,166.01360544217687,0.6920058040805745,0.022596118354426622
Thursday,133.41496598639455,205.68707482993196,0.7326287880449186,0.027852849505877627
Friday,110.0,144.0,0.7118181818181819,0.024036851715516908
Saturday,,,,
Sunday,130.06153846153848,206.13846153846154,0.700082547079712,0.028395547756812346
